keys,zh_CN,en
menu.main.title,"时序录","TimeChain"
menu.main.start,"开始游戏","Start Game"
menu.main.continue,"继续游戏","Continue"
menu.main.settings,"设置","Settings"
menu.main.quit,"退出","Quit"
menu.settings.title,"设置","Settings"
menu.settings.language,"语言","Language"
menu.settings.music_volume,"音乐音量","Music Volume"
menu.settings.sfx_volume,"音效音量","SFX Volume"
menu.settings.fullscreen,"全屏","Fullscreen"
menu.settings.back,"返回","Back"
battle.button.start_battle,"开始战斗","Start Battle"
battle.button.adjust_chain,"调整链条","Adjust Chain"
battle.button.surrender,"投降","Surrender"
battle.button.pause,"暂停","Pause"
battle.button.resume,"继续","Resume"
battle.button.speed_1x,"1x","1x"
battle.button.speed_2x,"2x","2x"
battle.button.speed_4x,"4x","4x"
battle.label.recovery,"调息","Recovery"
battle.label.timeline,"时间轴","Timeline"
battle.label.hp,"生命值","HP"
battle.label.chain,"链条","Chain"
build.title,"构筑","Build"
build.button.simulate,"模拟战斗","Simulate Battle"
build.button.confirm,"确认","Confirm"
build.label.total_duration,"总时长","Total Duration"
build.label.recovery_duration,"修整时长","Recovery"
build.tooltip.recovery,"修整阶段：链条循环后的弱点窗口。敌人继续输出，玩家无法行动。","Recovery Phase: The vulnerability window after your chain loops. Enemies continue attacking, and you cannot act."
build.synergy.hint,"协同：{synergy_name}","Synergy: {synergy_name}"
map.node.battle,"战斗","Battle"
map.node.elite,"精英","Elite"
map.node.shop,"商店","Shop"
map.node.event,"事件","Event"
map.node.campfire,"篝火","Campfire"
map.node.boss,"天劫","Tribulation"
map.node.mystery,"神秘","Mystery"
campfire.title,"静修之地","Meditation Grounds"
campfire.option.rest,"调息（恢复 30% 生命）","Rest (Restore 30% HP)"
campfire.option.forge,"修炼（强化一张卡牌）","Forge (Upgrade a card)"
ui.button.confirm,"确认","Confirm"
ui.button.cancel,"取消","Cancel"
ui.button.back,"返回","Back"
ui.label.gold,"金币","Gold"
ui.label.act,"第 {act} 层","Act {act}"
status.weakness.name,"道伤","Dao Wound"
status.weakness.desc,"受到伤害 +50%","Take 50% more damage"
status.vulnerable.name,"迟滞","Slow"
status.vulnerable.desc,"卡牌 cost +1","Card cost +1"
status.burn.name,"业火","Karmic Fire"
status.burn.desc,"每 tick 受到 {damage} 点伤害","Take {damage} damage per tick"
status.freeze.name,"冰魄封印","Frost Seal"
status.freeze.desc,"链条暂停 {duration} tick","Chain halted for {duration} ticks"
status.mark.name,"印记","Mark"
status.mark.desc,"受到下一次伤害额外 +{amount}","Next hit deals +{amount} more damage"
status.charge.name,"充能","Charge"
status.charge.desc,"当前充能：{stacks} 层","Current Charge: {stacks} stacks"
status.interrupt_immune.name,"打断免疫","Interrupt Immunity"
status.interrupt_immune.desc,"免疫打断效果 {duration} tick","Immune to interrupts for {duration} ticks"
error.save_corrupted,"存档损坏，已加载备份。","Save file corrupted, loaded from backup."
error.no_backup,"所有备份均已损坏，无法恢复存档。","All backups corrupted. Unable to restore save."
build.label.deck,"卡组","Deck"
build.slot.empty,"空槽","Empty"
campfire.option.skip,"继续","Continue"
map.title,"天劫之路","Path of Tribulation"
player.name,"剑修","Swordsman"
ui.surrender,"投降","Surrender"
card.zhan.name,"斩","Slash"
card.zhan.desc,"造成 5 点伤害。","Deal 5 damage."
card.jian_qi.name,"剑气","Sword Qi"
card.jian_qi.desc,"造成 12 点伤害。","Deal 12 damage."
card.xu_shi.name,"蓄势","Buildup"
card.xu_shi.desc,"获得 2 层充能。","Gain 2 Charge."
card.qiang_pi.name,"强劈","Power Strike"
card.qiang_pi.desc,"消耗所有充能，造成 10+充能×2 点伤害。","Consume all Charge. Deal 10 + Charge×2 damage."
card.yu_jian_dun.name,"御剑盾","Sword Guard"
card.yu_jian_dun.desc,"获得 6 点护盾。","Gain 6 Shield."
card.hui_xiang_jian.name,"回响剑","Echo Blade"
card.hui_xiang_jian.desc,"复制链条中前一张牌的效果并触发。","Copy and trigger the effect of the previous card in chain."
card.chong_neng_zhan.name,"充能斩","Charge Slash"
card.chong_neng_zhan.desc,"造成 5 点伤害，获得 1 层充能。","Deal 5 damage and gain 1 Charge."
card.jian_jue.name,"剑诀","Sword Art"
card.jian_jue.desc,"造成 2 次 3 点伤害（共 6 点）。","Deal 3 damage twice (6 total)."
card.xu_kong_jian.name,"虚空剑","Void Blade"
card.xu_kong_jian.desc,"打断目标当前卡的蓄力进度，附加 5 点伤害。","Interrupt target's current card progress. Deal 5 bonus damage."
card.qing_feng_zhan.name,"清风斩","Wind Slash"
card.qing_feng_zhan.desc,"造成 8 点伤害。","Deal 8 damage."
card.jian_qi_mu.name,"剑气幕","Sword Qi Veil"
card.jian_qi_mu.desc,"造成 20 点伤害。","Deal 20 damage."
card.yan_jian.name,"炎剑","Flame Sword"
card.yan_jian.desc,"造成 8 点伤害，施加燃烧。","Deal 8 damage and apply Burn."
card.jian_yu.name,"剑域","Sword Domain"
card.jian_yu.desc,"造成 3 次 3 点伤害（共 9 点）。","Deal 3 damage three times (9 total)."
card.po_jia.name,"破甲","Armor Break"
card.po_jia.desc,"施加易伤 3 tick。","Apply Vulnerable for 3 ticks."
card.qian_zhan.name,"千斩","Thousand Cuts"
card.qian_zhan.desc,"消耗所有充能，造成 20+充能×3 点伤害（一次性）。","Consume all Charge. Deal 20 + Charge×3 damage. (Consumable)"
enemy.slime.name,"沼泽史莱姆","Marsh Slime"
enemy.stone_guard.name,"石像卫","Stone Guard"
enemy.fire_imp.name,"焰魔小鬼","Fire Imp"
enemy.iron_golem.name,"铁制傀儡","Iron Golem"
enemy.shadow_blade.name,"影刃幽灵","Shadow Blade"
